chapter,chapter_description,block,block_description,code,code_description
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00,Cholera
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00.9,"Cholera, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01,Typhoid and paratyphoid fevers
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01.0,Typhoid fever
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01.1,Paratyphoid fever A
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01.2,Paratyphoid fever B
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01.3,Paratyphoid fever C
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A01.4,"Paratyphoid fever, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02,Other salmonella infections
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02.0,Salmonella enteritis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02.1,Salmonella sepsis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02.2,Localized salmonella infections
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02.8,Other specified salmonella infections
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A02.9,"Salmonella infection, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03,Shigellosis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.0,Shigellosis due to Shigella dysenteriae
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.1,Shigellosis due to Shigella flexneri
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.2,Shigellosis due to Shigella boydii
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.3,Shigellosis due to Shigella sonnei
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.8,Other shigellosis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A03.9,"Shigellosis, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04,Other bacterial intestinal infections
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.0,Enteropathogenic Escherichia coli infection
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.1,Enterotoxigenic Escherichia coli infection
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.2,Enteroinvasive Escherichia coli infection
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.3,Enterohaemorrhagic Escherichia coli infection
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.4,Other intestinal Escherichia coli infections
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.5,Campylobacter enteritis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A04.6,Enteritis due to Yersinia enterocolitica
